"","ID","SCREENNAME","TEXT","DATE","DATESTRING","PLACE","CLASSPOL","MODELNEGPOL","MODELPOSPOL","CLASSSENT","MODELNEGSENT","MODELPOSSENT","USERTYPE"
"1","961428448681054208","oalzagab","El pejelagarto resultó más rata qué peje https://t.co/va0zSp9UiY","1518057379000","2018-02-07 20:36:19","QRO","POL","5","26","NEG","31","0","local"
"2","956989988725514240","zerlaramontoya","Voy a comer... y ya saben a quien. #peje #pejelagarto #mexicanfood en La Palapa de Don polo https://t.co/mOQDQMcNso","1516999167000","2018-01-26 14:39:27","TAB","NO_POL","31","0","NEG","27","4","visitante"
"3","960651072409874432","oalzagab","@CarlosNavar @LeonKrauze Carlitos Eres tan, pero tan pend3jo qué porque no creo en leon me llamas peje zombi cuándo al pejelagarto lo tengo clasificado cómo priista","1517872038000","2018-02-05 17:07:18","QRO","NO_POL","31","0","NEG","31","0","local"
"4","950117720535613440","jepalominomtz","@BerthaLila3 Tamales de Pejelagarto","1515360691000","2018-01-07 15:31:31","VER","NO_POL","21","10","POS","10","21","local"
"5","949045150482911232","ralferez","@jjimen15 Comiendo pejelagarto","1515104970000","2018-01-04 16:29:30","QRO","NO_POL","22","9","POS","6","25","local"
"6","962509717456216064","xavier_tata_","@ladeicaza renunciar? ese víctor trujillo es el chairo chayotero del peje numero 1. si llega a ganar el pejelagarto, ya veremos que chayote le dará, al tiempo. ccp @brozoxmiswebs","1518315173000","2018-02-10 20:12:53","SON","POL","15","16","POS","0","31","visitante"
"7","950514044762509313","AzulAstuena","Casi nos come un pejelagarto","1515455182000","2018-01-08 17:46:22","QROO","NO_POL","31","0","NEG","23","8","local"
"8","957400386960322560","terryesteinou","@SinPartido1 Se llama PejeLagarto López!","1517097014000","2018-01-27 17:50:14","CDMX","POL","3","28","POS","0","31","local"
"9","954275452406980608","Gpedurazo","Ama se metio otro pejelagarto","1516351972000","2018-01-19 02:52:52","SON","NO_POL","24","7","NEG","29","2","local"
"10","948329418832924673","JorgitoFarias","Ya debería haber abundancia de egresados de la Universidad del Peje compitiendo por la Presidencia y demás cargos para salvar al País; la convirtieron en refugio de retóricos dogmáticos del pasado y no veo a ninguno, así son las ideas  del aferrado pejelagarto","1514934327000","2018-01-02 17:05:27","CDMX","POL","0","31","NEG","31","0","local"
"11","951301289438146560","chirindongo2013","@nightschoolbook @lopezobrador_ Esta muy senil tu pejelagarto","1515642876000","2018-01-10 21:54:36","CDMX","NO_POL","20","11","NEG","27","4","visitante"
"12","948727907114823680","1950tu","@arr1910 @jorgeisraelh Parecen tripas de Pejelagarto.","1515029334000","2018-01-03 19:28:54","JAL","NO_POL","25","6","NEG","30","1","local"
"13","959626660831285249","luis_rams","Te hablan perro ignorante, pejezombi de mierda !!! https://t.co/JsidRT2Xd2","1517627799000","2018-02-02 21:16:39","MEX","NO_POL","17","14","NEG","31","0","local"
"14","957087015564120064","Joseekr23","@DaniielaMarmol Jajajaja pejelagarto jajajajaja Gracias Chelaaa","1517022300000","2018-01-26 21:05:00","YUC","NO_POL","31","0","POS","0","31","local"
"15","958876375162736640","SuperYadd","@Laura_say Peje? <f0><U+009F><U+0098><U+00B1>","1517448917000","2018-01-31 19:35:17","QROO","NO_POL","29","2","NEG","31","0","local"
"16","953771862542168064","jmaracas42","@mikorteinforma Peje","1516231906000","2018-01-17 17:31:46","CDMX","POL","13","18","POS","11","20","local"
"17","965214633425436673","danadinosaurio","@Alebtzg *peje","1518960076000","2018-02-18 07:21:16","CDMX","POL","11","20","POS","0","31","local"
"18","954486207718797313","GandaraJulio","@SMayolo @Ferdapupa @JoseAMeadeK Jajaja listos mi General pejelagarto, no mamen","1516402220000","2018-01-19 16:50:20","JAL","NO_POL","31","0","POS","0","31","local"
"19","951582834535301121","justinhouses","I'm at El Pejelagarto in Bacalar https://t.co/gCpf0sXUXv","1515710001000","2018-01-11 16:33:21","QROO","POL","14","17","POS","0","31","visitante"
"20","955193915715530752","NuGuido","REGLA 1 A LA 1000 el pejezombi solo obedece NUNCA CUESTIONA AL PEJEHOVÁ  !!! https://t.co/wmOwCDT4TS","1516570950000","2018-01-21 15:42:30","MEX","POL","5","26","POS","4","27","local"
"21","949657538076839936","luis_rams","@PepeMeado Jaaaajajajaja   Cual independencia  Jajajajaja jaaaajajajaja   Contestarle a un pejezombi es perder el tiempo","1515250975000","2018-01-06 09:02:55","MEX","NO_POL","29","2","POS","0","31","local"
"22","964345088104157187","payo_aguirre","@julioastillero Si es el más pejezombi del mundo mundial!!! Por eso las signos de ¿?","1518752760000","2018-02-15 21:46:00","TAB","NO_POL","31","0","POS","0","31","local"
"23","952083328332689408","DimePaJau","Mamá se metió un pejelagarto a mi casa <f0><U+009F><U+0090><U+00A0><f0><U+009F><U+00A6><U+0088><f0><U+009F><U+0098><U+0082>   AYUDA @laumja","1515829328000","2018-01-13 01:42:08","CDMX","NO_POL","31","0","POS","3","28","local"
"24","968896831068430337","fede541","@revistaproceso No te vayan a comer el mandado, verdad pejelagarto?","1519837980000","2018-02-28 11:13:00","PUE","NO_POL","31","0","NEG","31","0","local"
"25","955198244992233477","NuGuido","Up's el pejezombi no tiene derecho a preguntar nada !!!  @lopezobrador https://t.co/A8EoaR7gjh","1516571982000","2018-01-21 15:59:42","MEX","NO_POL","31","0","POS","0","31","local"
"26","965119631756288000","Ariascab","Ve a que te hagan una limpia, o acabarás como pejezombi https://t.co/zEm3fpfFTv","1518937425000","2018-02-18 01:03:45","MEX","NO_POL","30","1","NEG","26","5","local"
"27","951486618363449344","rxstaticprocess","Jajajajaja ¡Morí! #epn #amlo #pejezombi #mexico #morena en Monumento a la Revolución https://t.co/xzI53AzM9G","1515687062000","2018-01-11 10:11:02","CDMX","POL","7","24","POS","0","31","local"
"28","957741236579844096","MejiaJorgeLuis","@GabyCuevas ¿Y peje?","1517178279000","2018-01-28 16:24:39","CDMX","NO_POL","25","6","POS","0","31","local"
