"","x"
"1",0.00744968826136104
"2",0.00747501792914097
"3",0.00747501792914097
"4",0.00750048273592917
"5",0.00750048273592917
"6",0.00750091623267295
"7",0.00750091623267295
"8",0.00750178326848205
"9",0.00750178326848205
"10",0.00750898184357402
"11",0.00752590945382955
"12",0.00752651751059708
"13",0.00752651751059708
"14",0.00752651751059708
"15",0.00753016643187827
"16",0.00753503320872992
"17",0.00755147164604186
"18",0.00755147164604186
"19",0.00755216789760188
"20",0.00755216789760188
"21",0.00755216789760188
"22",0.00755356050907374
"23",0.00757699542197309
"24",0.00757699542197309
"25",0.00757786739558885
"26",0.00757961151212625
"27",0.00760265500712387
"28",0.00760265500712387
"29",0.00760265500712387
"30",0.0076036160063521
"31",0.00762827584815446
"32",0.00762827584815446
"33",0.00762827584815446
"34",0.00762827584815446
"35",0.00763685608927255
"36",0.00767975074527645
"37",0.00767975074527645
"38",0.00770560513548163
"39",0.00770710160930423
"40",0.00773142012457066
"41",0.00773142012457066
"42",0.00773142012457066
"43",0.00775922749221168
"44",0.00775922749221168
"45",0.00776603336756857
"46",0.00776603336756857
"47",0.00776603336756857
"48",0.00776789009622756
"49",0.00778328399560617
"50",0.00778328399560617
"51",0.00778328399560617
"52",0.00778328399560617
"53",0.00778328399560617
"54",0.00780933321087012
"55",0.00780933321087012
"56",0.00781146183147616
"57",0.00781367949035337
"58",0.00782228734685259
"59",0.00783534236629869
"60",0.00783534236629869
"61",0.00783534236629869
"62",0.00783534236629869
"63",0.00783534236629869
"64",0.00783756382135413
"65",0.00784227447287621
"66",0.00785276803370416
"67",0.00785276803370416
"68",0.00785276803370416
"69",0.00785276803370416
"70",0.00785276803370416
"71",0.00785517020770643
"72",0.00785517020770643
"73",0.00785997579026546
"74",0.00786879030018395
"75",0.007887595242919
"76",0.00791652000480203
"77",0.00791652000480203
"78",0.0079400426301019
"79",0.00794290736307688
"80",0.00794290736307688
"81",0.00794290736307688
"82",0.00794872813156119
"83",0.00796638410600722
"84",0.00796934384812296
"85",0.00799268453085503
"86",0.00799582946015624
"87",0.0080190334189232
"88",0.0080190334189232
"89",0.00802236419928989
"90",0.00802236419928989
"91",0.00802236419928989
"92",0.00802785717318255
"93",0.00804552094656738
"94",0.00804552094656738
"95",0.00804894806553422
"96",0.00804894806553422
"97",0.00804894806553422
"98",0.00804894806553422
"99",0.0080560754744031
"100",0.00807196692644716
"101",0.00807196692644716
"102",0.00807196692644716
"103",0.00807196692644716
"104",0.00807196692644716
"105",0.00807196692644716
"106",0.00807196692644716
"107",0.00807196692644716
"108",0.00807567142367867
"109",0.00808082315505388
"110",0.00808299285381379
"111",0.00808299285381379
"112",0.00808299285381379
"113",0.00808299285381379
"114",0.00809855187701823
"115",0.00809855187701823
"116",0.0081201087655638
"117",0.0081201087655638
"118",0.00812509494799974
"119",0.00812509494799974
"120",0.00812509494799974
"121",0.00812509494799974
"122",0.00812509494799974
"123",0.00812908512344446
"124",0.00813706875298339
"125",0.00815177732038556
"126",0.00815586566272109
"127",0.00817841748096298
"128",0.00817841748096298
"129",0.00817841748096298
"130",0.00817841748096298
"131",0.00818269532762864
"132",0.00818269532762864
"133",0.00819125476185512
"134",0.00820519727325479
"135",0.00820519727325479
"136",0.00820519727325479
"137",0.00820957411756705
"138",0.00821851421302926
"139",0.00823193452113064
"140",0.00823193452113064
"141",0.00823193452113064
"142",0.00823193452113064
"143",0.00823202585751505
"144",0.00823641066779182
"145",0.00824573270786815
"146",0.00825881173062756
"147",0.00825881173062756
"148",0.00828564606271689
"149",0.00828564606271689
"150",0.00828564606271689
"151",0.00828564606271689
"152",0.00828564606271689
"153",0.00828564606271689
"154",0.00829050523005816
"155",0.00829050523005816
"156",0.00829463218280005
"157",0.00829463218280005
"158",0.00829463218280005
"159",0.00829463218280005
"160",0.00829463218280005
"161",0.00829463218280005
"162",0.00829463218280005
"163",0.00829463218280005
"164",0.00829463218280005
"165",0.00829958603487136
"166",0.00829958603487136
"167",0.00829958603487136
"168",0.00830949867681732
"169",0.00831409009246658
"170",0.00832667780156577
"171",0.00833955209836471
"172",0.00833955209836471
"173",0.00834470491468645
"174",0.00834470491468645
"175",0.00834470491468645
"176",0.0083552000457809
